"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.189406833E0,4.240980835E0,-8.722361755E0,6.788383484E-1,9.722465456E0
2.199364833E0,4.251908112E0,-8.740324402E0,6.888674927E-1,9.744051091E0
2.209321833E0,4.269721069E0,-8.746910706E0,7.129673767E-1,9.759471675E0
2.219278833E0,4.292024689E0,-8.761430511E0,7.435038757E-1,9.784525464E0
2.229235833E0,4.317771149E0,-8.794212341E0,7.656578064E-1,9.826878969E0
2.239192833E0,4.347110138E0,-8.833281097E0,7.885601807E-1,9.876540318E0
2.249149833E0,4.355642395E0,-8.846304016E0,8.081694031E-1,9.893525823E0
2.259107833E0,4.345014496E0,-8.837921448E0,8.051756287E-1,9.881108960E0
2.269064833E0,4.324806519E0,-8.817713470E0,7.978408813E-1,9.853556330E0
2.279021833E0,4.288581848E0,-8.761430511E0,7.924520874E-1,9.786857472E0
2.288978833E0,4.265380096E0,-8.709039459E0,7.771838379E-1,9.728558495E0
2.298935833E0,4.244273987E0,-8.661737823E0,7.804769897E-1,9.677226262E0
2.308892833E0,4.249513092E0,-8.673263855E0,8.008346558E-1,9.691501616E0
2.318850833E0,4.263583832E0,-8.718469849E0,8.086184692E-1,9.738774431E0
2.328807833E0,4.289629669E0,-8.770411835E0,7.927514648E-1,9.795381633E0
2.338764833E0,4.323609009E0,-8.809929657E0,7.676037598E-1,9.843661461E0
2.348721833E0,4.334386597E0,-8.813522186E0,7.336244202E-1,9.849024586E0
2.358678833E0,4.347708893E0,-8.806187439E0,6.945556641E-1,9.845502394E0
2.368635833E0,4.358785858E0,-8.791817322E0,6.809339905E-1,9.836601907E0
2.378592833E0,4.355792084E0,-8.793164520E0,6.855743408E-1,9.836802282E0
2.388550833E0,4.350852356E0,-8.819659424E0,7.129673767E-1,9.860255121E0
2.398507833E0,4.362677765E0,-8.849896545E0,7.478448486E-1,9.895094646E0
2.408465083E0,4.361330566E0,-8.870553589E0,7.406597900E-1,9.912441788E0
2.418422083E0,4.365372162E0,-8.863218842E0,6.985972595E-1,9.904602994E0
2.428379083E0,4.372108154E0,-8.824599152E0,6.664141846E-1,9.870814949E0
2.438336083E0,4.374203796E0,-8.777746582E0,6.764433289E-1,9.830568116E0
2.448294083E0,4.367168427E0,-8.738677826E0,7.038363647E-1,9.794490076E0
2.458251083E0,4.345313873E0,-8.691825256E0,7.244934082E-1,9.744458407E0
2.468208083E0,4.317471771E0,-8.667276306E0,7.441026306E-1,9.711638883E0
